temperature,strain_rate,strain,flow_stress
800.0,0.1,0.0,50.1620895154801
800.0,0.1,0.0007612415562077,52.2828586142331
800.0,0.1,0.0015224831124154,54.403668226215
800.0,0.1,0.0023968841950021,56.523231652328
800.0,0.1,0.0032732186281725,58.6428240503113
800.0,0.1,0.0041643875064408,60.7622697011012
800.0,0.1,0.0051917733246469,62.8799577815626
800.0,0.1,0.0062191591428529,64.9977107562345
800.0,0.1,0.0072900603611543,67.1148508103656
800.0,0.1,0.0084851076836436,69.2301322755332
800.0,0.1,0.0096801550061329,71.3454949501886
800.0,0.1,0.0109627948340416,73.4593553968272
800.0,0.1,0.0123424452311758,75.5715573282245
800.0,0.1,0.01372209562831,77.6838594179291
800.0,0.1,0.015241135059011,79.7933804232363
800.0,0.1,0.0168065881086498,81.902060137461
800.0,0.1,0.0183883196970976,84.0104825986008
800.0,0.1,0.0201302242791814,86.1153187042305
800.0,0.1,0.0218721288612651,88.22029661863
800.0,0.1,0.0237119916421402,90.3228782570728
800.0,0.1,0.0256486979788928,92.4231104266217
800.0,0.1,0.0275854043156454,94.5235082759015
800.0,0.1,0.0297237927594212,96.6182638185859
800.0,0.1,0.0318645010453229,98.7131439555503
800.0,0.1,0.0341229499669824,100.804456661814
800.0,0.1,0.0364769528827472,102.892931864039
800.0,0.1,0.0388861002291559,104.979642869361
800.0,0.1,0.0415234135077943,107.058386972348
800.0,0.1,0.0441607267864327,109.137385724119
800.0,0.1,0.0470946198310049,111.204562998779
800.0,0.1,0.0500491328826209,113.271193485846
800.0,0.1,0.0532800692735112,115.32533419531
800.0,0.1,0.0565897448620362,117.376166486001
800.0,0.1,0.0601833979688257,119.412412911982
800.0,0.1,0.0638829374741304,121.443473724848
800.0,0.1,0.0678922921158156,123.456529249348
800.0,0.1,0.0719859515885099,125.465008667113
800.0,0.1,0.0764805634285575,127.447123221742
800.0,0.1,0.0810876539770578,129.42146628466
800.0,0.1,0.086040030142214,131.370395495317
800.0,0.1,0.0912677258216622,133.296573852373
800.0,0.1,0.0967164999230125,135.20458224269
800.0,0.1,0.102682274804414,137.063724282446
800.0,0.1,0.108888382260339,138.897811168093
800.0,0.1,0.115353222547083,140.704295892471
800.0,0.1,0.122140855321666,142.473603722099
800.0,0.1,0.129234251978202,144.204536601663
800.0,0.1,0.13661206885827,145.897235629474
800.0,0.1,0.144300270857,147.545575692175
800.0,0.1,0.152310771398361,149.144547651204
800.0,0.1,0.160629664129836,150.692512363713
800.0,0.1,0.169279852027709,152.180668090582
800.0,0.1,0.178228895024371,153.610053203701
800.0,0.1,0.18748332065361,154.974220980213
800.0,0.1,0.197044427435453,156.266768403925
800.0,0.1,0.206910479880592,157.48080145959
800.0,0.1,0.217073785320866,158.60975984002
800.0,0.1,0.227523682067167,159.646496498128
800.0,0.1,0.238242433206366,160.584834011252
800.0,0.1,0.249201774377349,161.421723737006
800.0,0.1,0.260359350895272,162.161503132969
800.0,0.1,0.271684926979138,162.804125310985
800.0,0.1,0.283158560414451,163.342402756101
800.0,0.1,0.294748422167785,163.775971634325
800.0,0.1,0.306428247213545,164.09822528089
800.0,0.1,0.31816814602974,164.302221800638
800.0,0.1,0.329931792852815,164.390120513943
800.0,0.1,0.341686161406238,164.366381014095
800.0,0.1,0.353402106809559,164.236419649364
800.0,0.1,0.365054152048149,164.004309773019
800.0,0.1,0.376623303640545,163.677517257748
800.0,0.1,0.388091739465186,163.260692398705
800.0,0.1,0.399446067735034,162.759190360634
800.0,0.1,0.410664679538231,162.17198782392
800.0,0.1,0.421736574390941,161.50375437725
800.0,0.1,0.432654200787582,160.759768925875
800.0,0.1,0.443417456696587,159.947070363878
800.0,0.1,0.454047909679838,159.079465393188
800.0,0.1,0.464590730071621,158.177106527479
800.0,0.1,0.475075616081652,157.252359380221
800.0,0.1,0.485509237442489,156.308170905878
800.0,0.1,0.495894341669919,155.345892330178
800.0,0.1,0.506240076805705,154.368995968876
800.0,0.1,0.516578162438184,153.388513815755
800.0,0.1,0.526950315952889,152.41879627454
800.0,0.1,0.537356515565125,151.460068057164
800.0,0.1,0.547798734470402,150.513228806381
800.0,0.1,0.558289296725521,149.583033014315
800.0,0.1,0.56884608028443,148.676662842486
800.0,0.1,0.579475956670491,147.797536980591
800.0,0.1,0.590176717671121,146.945852201679
800.0,0.1,0.60094545730643,146.121475008705
800.0,0.1,0.611776480248563,145.323058223404
800.0,0.1,0.622669518336737,144.551574313165
800.0,0.1,0.63363228605063,143.811811792937
800.0,0.1,0.644665750730315,143.10584888854
800.0,0.1,0.655764822350502,142.432950918582
800.0,0.1,0.666933345904411,141.797166246901
800.0,0.1,0.67817339790522,141.202178673911
800.0,0.1,0.689481738423675,140.649200611058
800.0,0.1,0.700865990682012,140.147039942703
800.0,0.1,0.712313802300069,139.691470668136
800.0,0.1,0.723807904219112,139.273122367281
800.0,0.1,0.735344946101421,138.892226706265
800.0,0.1,0.746916476676298,138.54412637496
800.0,0.1,0.758516008463468,138.224829093018
800.0,0.1,0.770143594002361,137.937254798715
800.0,0.1,0.78180091881831,137.687008627326
