duration
5.955
4.509
5.556
5.552
4.636
6.841
4.092
4.308
6.066
5.131
4.602
4.858
6.023
5.027
6.848
4.249
4.134
4.744
4.864
3.747
5.219
5.586
4.466
13.987
11.317
10.437
7.893
10.845
8.83
12.141
9.808
18.766
4.14
23.805
7.061
13.707
6.591
6.06
7.041
7.347
5.167
4.66
5.117
5.138
5.557
7.354
5.47
6.359
5.448
4.653
5.357
5.7
5.507
10.597
7.707
4.748
12.523
8.403
4.771
7.294
4.541
5.319
5.222
5.095
6.832
3.956
4.113
4.285
4.92
4.147
5.118
5.487
4.343
7.557
4.033
4.037
5.257
4.661
4.238
5.211
5.495
5.279
